nohup: ignoring input

=== Treinando com mask_00_exec100p (18/18 blocos ativos) ===
[mask_08_exec50p] Fim. Best Val Acc = 90.32% | dir=save_mask_sweep/20250902_230826_mask_08_exec50p

=== Treinando com mask_09_exec50p (9/18 blocos ativos) ===
[mask_09_exec50p] epoch 1/20 | train_loss 0.9121 acc 72.08 | val_loss 0.5986 acc 79.98 | 7.7s
[mask_09_exec50p] epoch 2/20 | train_loss 0.4937 acc 82.99 | val_loss 0.5149 acc 83.37 | 7.9s
[mask_09_exec50p] epoch 3/20 | train_loss 0.4111 acc 85.69 | val_loss 0.4287 acc 85.77 | 7.8s
[mask_09_exec50p] epoch 4/20 | train_loss 0.3679 acc 87.33 | val_loss 0.4510 acc 85.13 | 7.8s
[mask_09_exec50p] epoch 5/20 | train_loss 0.3368 acc 88.22 | val_loss 0.4387 acc 85.94 | 8.0s
[mask_09_exec50p] epoch 6/20 | train_loss 0.3130 acc 88.96 | val_loss 0.4460 acc 85.91 | 7.6s
[mask_09_exec50p] epoch 7/20 | train_loss 0.2933 acc 89.62 | val_loss 0.4217 acc 86.48 | 7.5s
[mask_09_exec50p] epoch 8/20 | train_loss 0.2796 acc 90.25 | val_loss 0.4353 acc 86.32 | 7.5s
[mask_09_exec50p] epoch 9/20 | train_loss 0.2618 acc 90.92 | val_loss 0.4055 acc 87.67 | 7.9s
[mask_09_exec50p] epoch 10/20 | train_loss 0.2536 acc 91.04 | val_loss 0.3869 acc 87.60 | 7.8s
[mask_09_exec50p] epoch 11/20 | train_loss 0.2457 acc 91.33 | val_loss 0.4309 acc 86.79 | 7.9s
[mask_09_exec50p] epoch 12/20 | train_loss 0.2307 acc 91.85 | val_loss 0.3848 acc 88.02 | 7.8s
[mask_09_exec50p] epoch 13/20 | train_loss 0.2316 acc 91.84 | val_loss 0.3745 acc 88.48 | 7.6s
[mask_09_exec50p] epoch 14/20 | train_loss 0.2208 acc 92.22 | val_loss 0.3976 acc 88.26 | 7.5s
[mask_09_exec50p] epoch 15/20 | train_loss 0.2123 acc 92.48 | val_loss 0.3672 acc 88.83 | 7.9s
[mask_09_exec50p] epoch 16/20 | train_loss 0.2085 acc 92.58 | val_loss 0.3805 acc 88.59 | 7.9s
[mask_09_exec50p] epoch 17/20 | train_loss 0.2028 acc 92.81 | val_loss 0.3614 acc 88.99 | 7.9s
[mask_09_exec50p] epoch 18/20 | train_loss 0.1936 acc 93.25 | val_loss 0.3938 acc 88.06 | 7.8s
[mask_09_exec50p] epoch 19/20 | train_loss 0.1952 acc 92.99 | val_loss 0.3772 acc 88.57 | 7.5s
[mask_09_exec50p] epoch 20/20 | train_loss 0.1913 acc 93.28 | val_loss 0.3843 acc 88.30 | 7.6s
[mask_09_exec50p] Fim. Best Val Acc = 88.99% | dir=save_mask_sweep/20250902_230826_mask_09_exec50p

=== Treinando com mask_10_exec33p (6/18 blocos ativos) ===
[mask_10_exec33p] epoch 1/20 | train_loss 1.4893 acc 46.02 | val_loss 1.4579 acc 47.55 | 7.9s
[mask_10_exec33p] epoch 2/20 | train_loss 1.2469 acc 55.08 | val_loss 1.2386 acc 55.88 | 7.9s
[mask_10_exec33p] epoch 3/20 | train_loss 1.1120 acc 60.12 | val_loss 1.3799 acc 54.77 | 7.7s
[mask_10_exec33p] epoch 4/20 | train_loss 1.0280 acc 63.40 | val_loss 1.4329 acc 52.55 | 7.7s
[mask_10_exec33p] epoch 5/20 | train_loss 0.9700 acc 65.48 | val_loss 1.1154 acc 62.02 | 7.2s
[mask_10_exec33p] epoch 6/20 | train_loss 0.9254 acc 67.42 | val_loss 0.9876 acc 66.07 | 7.4s
[mask_10_exec33p] epoch 7/20 | train_loss 0.8914 acc 68.66 | val_loss 1.0706 acc 62.85 | 7.8s
